category,group,filename,split,boxes
Cyst,Group 59,Cyst- (3027).jpg,train,2
Cyst,Group 6,Cyst- (241).jpg,train,2
Cyst,Group 6,Cyst- (247).jpg,train,2
Cyst,Group 60,Cyst- (3033).jpg,train,2
Cyst,Group 61,Cyst- (3078).jpg,train,2
Cyst,Group 61,Cyst- (3112).jpg,train,1
Cyst,Group 64,Cyst- (3275).jpg,train,1
Cyst,Group 64,Cyst- (3282).jpg,train,1
Cyst,Group 65,Cyst- (3313).jpg,train,2
Cyst,Group 65,Cyst- (3333).jpg,train,2
Cyst,Group 67,Cyst- (3408).jpg,train,2
Cyst,Group 67,Cyst- (3411).jpg,train,2
Cyst,Group 68,Cyst- (3422).jpg,train,2
Cyst,Group 68,Cyst- (3425).jpg,train,2
Cyst,Group 69,Cyst- (3437).jpg,train,2
Cyst,Group 69,Cyst- (3443).jpg,train,2
Cyst,Group 70,Cyst- (3455).jpg,train,2
Cyst,Group 70,Cyst- (3458).jpg,train,2
Cyst,Group 71,Cyst- (3474).jpg,train,2
Cyst,Group 71,Cyst- (3484).jpg,train,2
Cyst,Group 72,Cyst- (3517).jpg,train,2
Cyst,Group 72,Cyst- (3536).jpg,train,1
Cyst,Group 73,Cyst- (3568).jpg,train,1
Cyst,Group 73,Cyst- (3575).jpg,train,1
Cyst,Group 74,Cyst- (3591).jpg,train,2
Cyst,Group 74,Cyst- (3596).jpg,train,2
Cyst,Group 75,Cyst- (3605).jpg,train,2
Cyst,Group 76,Cyst- (3612).jpg,train,2
Cyst,Group 79,Cyst- (3682).jpg,train,2
Cyst,Group 79,Cyst- (3687).jpg,train,2
Cyst,Group 80,Cyst- (3699).jpg,train,2
Cyst,Group 80,Cyst- (3704).jpg,train,2
Cyst,Group 9,Cyst- (287).jpg,train,0
Cyst,Group 9,Cyst- (295).jpg,train,2
Normal,Group 0,Normal- (32).jpg,train,2
Normal,Group 0,Normal- (63).jpg,train,2
Normal,Group 0,Normal- (94).jpg,train,2
Normal,Group 10,Normal- (1297).jpg,train,2
Normal,Group 10,Normal- (1321).jpg,train,2
Normal,Group 10,Normal- (1346).jpg,train,2
Normal,Group 11,Normal- (1384).jpg,train,2
Normal,Group 11,Normal- (1397).jpg,train,2
Normal,Group 11,Normal- (1411).jpg,train,2
Normal,Group 12,Normal- (1458).jpg,train,2
Normal,Group 12,Normal- (1490).jpg,train,2
Normal,Group 12,Normal- (1523).jpg,train,2
Normal,Group 12,Normal- (1555).jpg,train,2
Normal,Group 14,Normal- (1682).jpg,train,2
Normal,Group 14,Normal- (1701).jpg,train,2
Normal,Group 14,Normal- (1720).jpg,train,2
Normal,Group 15,Normal- (1765).jpg,train,2
Normal,Group 15,Normal- (1792).jpg,train,2
Normal,Group 15,Normal- (1819).jpg,train,2
Normal,Group 16,Normal- (1863).jpg,train,2
Normal,Group 16,Normal- (1880).jpg,train,2
Normal,Group 16,Normal- (1897).jpg,train,2
Normal,Group 17,Normal- (1949).jpg,train,1
Normal,Group 17,Normal- (1983).jpg,train,1
Normal,Group 17,Normal- (2017).jpg,train,1
Normal,Group 19,Normal- (2145).jpg,train,2
Normal,Group 19,Normal- (2173).jpg,train,2
Normal,Group 19,Normal- (2201).jpg,train,2
Normal,Group 19,Normal- (2229).jpg,train,2
Normal,Group 20,Normal- (2278).jpg,train,2
Normal,Group 20,Normal- (2298).jpg,train,2
Normal,Group 20,Normal- (2318).jpg,train,2
Normal,Group 21,Normal- (2373).jpg,train,2
Normal,Group 21,Normal- (2406).jpg,train,2
Normal,Group 21,Normal- (2439).jpg,train,2
Normal,Group 22,Normal- (2497).jpg,train,1
Normal,Group 22,Normal- (2520).jpg,train,2
Normal,Group 22,Normal- (2543).jpg,train,2
Normal,Group 23,Normal- (2597).jpg,train,2
Normal,Group 23,Normal- (2628).jpg,train,2
Normal,Group 23,Normal- (2659).jpg,train,2
Normal,Group 24,Normal- (2700).jpg,train,2
Normal,Group 24,Normal- (2709).jpg,train,2
Normal,Group 24,Normal- (2718).jpg,train,2
Normal,Group 26,Normal- (2896).jpg,train,1
Normal,Group 26,Normal- (2923).jpg,train,2
Normal,Group 26,Normal- (2950).jpg,train,2
Normal,Group 27,Normal- (3013).jpg,train,2
Normal,Group 27,Normal- (3048).jpg,train,2
Normal,Group 27,Normal- (3083).jpg,train,2
Normal,Group 29,Normal- (3214).jpg,train,1
Normal,Group 29,Normal- (3246).jpg,train,2
Normal,Group 29,Normal- (3277).jpg,train,2
Normal,Group 3,Normal- (378).jpg,train,2
Normal,Group 3,Normal- (395).jpg,train,2
Normal,Group 3,Normal- (412).jpg,train,2
Normal,Group 31,Normal- (3465).jpg,train,2
Normal,Group 31,Normal- (3486).jpg,train,2
Normal,Group 31,Normal- (3507).jpg,train,2
Normal,Group 33,Normal- (3697).jpg,train,2
Normal,Group 33,Normal- (3711).jpg,train,2
Normal,Group 33,Normal- (3726).jpg,train,2
Normal,Group 34,Normal- (3775).jpg,train,2
Normal,Group 34,Normal- (3809).jpg,train,2
Normal,Group 34,Normal- (3842).jpg,train,2
Normal,Group 35,Normal- (3896).jpg,train,2
Normal,Group 35,Normal- (3915).jpg,train,2
Normal,Group 35,Normal- (3934).jpg,train,2
Normal,Group 39,Normal- (4299).jpg,train,1
Normal,Group 39,Normal- (4314).jpg,train,2
Normal,Group 39,Normal- (4329).jpg,train,2
Normal,Group 4,Normal- (468).jpg,train,1
Normal,Group 4,Normal- (505).jpg,train,2
Normal,Group 4,Normal- (543).jpg,train,2
Normal,Group 4,Normal- (580).jpg,train,1
Normal,Group 40,Normal- (4378).jpg,train,2
Normal,Group 40,Normal- (4411).jpg,train,2
Normal,Group 40,Normal- (4445).jpg,train,2
Normal,Group 41,Normal- (4502).jpg,train,2
Normal,Group 41,Normal- (4525).jpg,train,2
Normal,Group 41,Normal- (4548).jpg,train,2
Normal,Group 44,Normal- (4732).jpg,train,2
Normal,Group 44,Normal- (4759).jpg,train,2
Normal,Group 44,Normal- (4785).jpg,train,2
Normal,Group 46,Normal- (4942).jpg,train,2
Normal,Group 46,Normal- (4969).jpg,train,2
Normal,Group 46,Normal- (4996).jpg,train,2
Normal,Group 5,Normal- (643).jpg,train,2
Normal,Group 5,Normal- (667).jpg,train,2
Normal,Group 5,Normal- (691).jpg,train,2
Normal,Group 6,Normal- (772).jpg,train,2
Normal,Group 6,Normal- (829).jpg,train,2
Normal,Group 6,Normal- (885).jpg,train,2
Normal,Group 6,Normal- (942).jpg,train,2
Normal,Group 7,Normal- (1017).jpg,train,2
Normal,Group 7,Normal- (1035).jpg,train,2
Normal,Group 7,Normal- (1054).jpg,train,2
Normal,Group 8,Normal- (1105).jpg,train,2
Normal,Group 8,Normal- (1137).jpg,train,2
Normal,Group 8,Normal- (1168).jpg,train,2
Normal,Group 9,Normal- (1219).jpg,train,2
Normal,Group 9,Normal- (1237).jpg,train,2
Normal,Group 9,Normal- (1254).jpg,train,2
Stone,Group 1,Stone- (30).jpg,train,2
Stone,Group 1,Stone- (31).jpg,train,2
Stone,Group 10,Stone- (168).jpg,train,2
Stone,Group 10,Stone- (173).jpg,train,2
Stone,Group 10,Stone- (177).jpg,train,2
Stone,Group 11,Stone- (187).jpg,train,2
Stone,Group 11,Stone- (191).jpg,train,2
Stone,Group 11,Stone- (196).jpg,train,2
Stone,Group 14,Stone- (211).jpg,train,2
Stone,Group 14,Stone- (213).jpg,train,2
Stone,Group 15,Stone- (218).jpg,train,2
Stone,Group 15,Stone- (219).jpg,train,2
Stone,Group 16,Stone- (226).jpg,train,2
Stone,Group 16,Stone- (228).jpg,train,2
Stone,Group 18,Stone- (248).jpg,train,1
Stone,Group 18,Stone- (252).jpg,train,1
Stone,Group 19,Stone- (262).jpg,train,2
Stone,Group 19,Stone- (266).jpg,train,2
Stone,Group 20,Stone- (275).jpg,train,2
Stone,Group 20,Stone- (280).jpg,train,2
Stone,Group 20,Stone- (285).jpg,train,2
Stone,Group 21,Stone- (333).jpg,train,2
Stone,Group 21,Stone- (376).jpg,train,2
Stone,Group 21,Stone- (419).jpg,train,2
Stone,Group 22,Stone- (478).jpg,train,2
Stone,Group 22,Stone- (493).jpg,train,1
Stone,Group 22,Stone- (509).jpg,train,1
Stone,Group 23,Stone- (530).jpg,train,2
Stone,Group 23,Stone- (535).jpg,train,2
Stone,Group 24,Stone- (550).jpg,train,1
Stone,Group 24,Stone- (559).jpg,train,1
Stone,Group 24,Stone- (568).jpg,train,2
Stone,Group 26,Stone- (602).jpg,train,2
Stone,Group 26,Stone- (607).jpg,train,2
Stone,Group 27,Stone- (632).jpg,train,2
Stone,Group 27,Stone- (651).jpg,train,2
Stone,Group 27,Stone- (670).jpg,train,2
Stone,Group 3,Stone- (110).jpg,train,2
Stone,Group 3,Stone- (79).jpg,train,1
Stone,Group 3,Stone- (94).jpg,train,2
Stone,Group 30,Stone- (726).jpg,train,2
Stone,Group 30,Stone- (727).jpg,train,2
Stone,Group 32,Stone- (746).jpg,train,2
Stone,Group 32,Stone- (751).jpg,train,2
Stone,Group 34,Stone- (779).jpg,train,2
Stone,Group 34,Stone- (788).jpg,train,2
Stone,Group 34,Stone- (796).jpg,train,2
Stone,Group 36,Stone- (831).jpg,train,2
Stone,Group 36,Stone- (836).jpg,train,2
Stone,Group 36,Stone- (841).jpg,train,2
Stone,Group 37,Stone- (850).jpg,train,2
Stone,Group 37,Stone- (852).jpg,train,2
Stone,Group 38,Stone- (857).jpg,train,2
Stone,Group 38,Stone- (859).jpg,train,2
Stone,Group 4,Stone- (128).jpg,train,2
Stone,Group 4,Stone- (129).jpg,train,2
Stone,Group 40,Stone- (871).jpg,train,2
Stone,Group 40,Stone- (876).jpg,train,2
Stone,Group 40,Stone- (881).jpg,train,2
Stone,Group 41,Stone- (891).jpg,train,2
Stone,Group 41,Stone- (896).jpg,train,2
Stone,Group 41,Stone- (901).jpg,train,2
Stone,Group 42,Stone- (911).jpg,train,2
Stone,Group 42,Stone- (916).jpg,train,2
Stone,Group 45,Stone- (961).jpg,train,2
Stone,Group 45,Stone- (966).jpg,train,2
Stone,Group 45,Stone- (970).jpg,train,2
Stone,Group 46,Stone- (978).jpg,train,2
Stone,Group 46,Stone- (979).jpg,train,2
Stone,Group 48,Stone- (993).jpg,train,2
Stone,Group 48,Stone- (998).jpg,train,2
Stone,Group 49,Stone- (1006).jpg,train,2
Stone,Group 49,Stone- (1009).jpg,train,2
Stone,Group 51,Stone- (1017).jpg,train,2
Stone,Group 51,Stone- (1018).jpg,train,2
Stone,Group 53,Stone- (1098).jpg,train,2
Stone,Group 53,Stone- (1106).jpg,train,2
Stone,Group 53,Stone- (1113).jpg,train,2
Stone,Group 55,Stone- (1247).jpg,train,2
Stone,Group 55,Stone- (1266).jpg,train,2
Stone,Group 55,Stone- (1284).jpg,train,2
Stone,Group 56,Stone- (1304).jpg,train,2
Stone,Group 56,Stone- (1305).jpg,train,2
Stone,Group 57,Stone- (1307).jpg,train,2
Stone,Group 57,Stone- (1308).jpg,train,2
Stone,Group 58,Stone- (1314).jpg,train,2
Stone,Group 58,Stone- (1319).jpg,train,2
Stone,Group 58,Stone- (1325).jpg,train,2
Stone,Group 59,Stone- (1336).jpg,train,2
Stone,Group 59,Stone- (1340).jpg,train,2
Stone,Group 6,Stone- (141).jpg,train,2
Stone,Group 6,Stone- (143).jpg,train,2
Stone,Group 60,Stone- (1349).jpg,train,2
Stone,Group 60,Stone- (1352).jpg,train,2
Stone,Group 61,Stone- (1362).jpg,train,2
Stone,Group 61,Stone- (1367).jpg,train,2
Stone,Group 62,Stone- (1375).jpg,train,2
Stone,Group 62,Stone- (1376).jpg,train,2
Stone,Group 7,Stone- (149).jpg,train,2
Stone,Group 7,Stone- (152).jpg,train,2
Stone,Group 8,Stone- (157).jpg,train,2
Stone,Group 8,Stone- (158).jpg,train,2
Tumor,Group 1,Tumor- (208).jpg,train,2
Tumor,Group 1,Tumor- (223).jpg,train,2
Tumor,Group 1,Tumor- (237).jpg,train,2
Tumor,Group 1,Tumor- (251).jpg,train,1
Tumor,Group 1,Tumor- (265).jpg,train,1
Tumor,Group 1,Tumor- (280).jpg,train,1
Tumor,Group 10,Tumor- (1048).jpg,train,2
Tumor,Group 10,Tumor- (1051).jpg,train,2
Tumor,Group 10,Tumor- (1054).jpg,train,2
Tumor,Group 10,Tumor- (1056).jpg,train,2
Tumor,Group 10,Tumor- (1059).jpg,train,2
Tumor,Group 10,Tumor- (1062).jpg,train,2
Tumor,Group 11,Tumor- (1073).jpg,train,2
Tumor,Group 11,Tumor- (1076).jpg,train,2
Tumor,Group 11,Tumor- (1079).jpg,train,2
Tumor,Group 11,Tumor- (1082).jpg,train,2
Tumor,Group 11,Tumor- (1085).jpg,train,2
Tumor,Group 11,Tumor- (1088).jpg,train,2
Tumor,Group 12,Tumor- (1100).jpg,train,2
Tumor,Group 12,Tumor- (1104).jpg,train,2
Tumor,Group 12,Tumor- (1107).jpg,train,2
Tumor,Group 12,Tumor- (1111).jpg,train,2
Tumor,Group 12,Tumor- (1114).jpg,train,2
Tumor,Group 12,Tumor- (1118).jpg,train,2
Tumor,Group 13,Tumor- (1144).jpg,train,2
Tumor,Group 13,Tumor- (1155).jpg,train,2
Tumor,Group 13,Tumor- (1166).jpg,train,2
Tumor,Group 13,Tumor- (1178).jpg,train,2
Tumor,Group 13,Tumor- (1189).jpg,train,2
Tumor,Group 13,Tumor- (1201).jpg,train,2
Tumor,Group 14,Tumor- (1237).jpg,train,2
Tumor,Group 14,Tumor- (1247).jpg,train,2
Tumor,Group 14,Tumor- (1257).jpg,train,2
Tumor,Group 14,Tumor- (1267).jpg,train,2
Tumor,Group 14,Tumor- (1277).jpg,train,2
Tumor,Group 14,Tumor- (1287).jpg,train,2
Tumor,Group 15,Tumor- (1337).jpg,train,2
Tumor,Group 15,Tumor- (1356).jpg,train,2
Tumor,Group 15,Tumor- (1375).jpg,train,2
Tumor,Group 15,Tumor- (1395).jpg,train,1
Tumor,Group 15,Tumor- (1414).jpg,train,2
Tumor,Group 15,Tumor- (1433).jpg,train,1
Tumor,Group 19,Tumor- (1881).jpg,train,2
Tumor,Group 19,Tumor- (1887).jpg,train,2
Tumor,Group 19,Tumor- (1894).jpg,train,2
Tumor,Group 19,Tumor- (1900).jpg,train,2
Tumor,Group 19,Tumor- (1907).jpg,train,1
Tumor,Group 19,Tumor- (1913).jpg,train,1
Tumor,Group 2,Tumor- (312).jpg,train,2
Tumor,Group 2,Tumor- (316).jpg,train,2
Tumor,Group 2,Tumor- (321).jpg,train,2
Tumor,Group 2,Tumor- (325).jpg,train,2
Tumor,Group 2,Tumor- (330).jpg,train,2
Tumor,Group 2,Tumor- (334).jpg,train,2
Tumor,Group 21,Tumor- (1996).jpg,train,1
Tumor,Group 21,Tumor- (2014).jpg,train,1
Tumor,Group 21,Tumor- (2032).jpg,train,2
Tumor,Group 21,Tumor- (2049).jpg,train,2
Tumor,Group 21,Tumor- (2067).jpg,train,2
Tumor,Group 21,Tumor- (2085).jpg,train,2
Tumor,Group 24,Tumor- (2263).jpg,train,1
Tumor,Group 24,Tumor- (2266).jpg,train,1
Tumor,Group 24,Tumor- (2269).jpg,train,2
Tumor,Group 24,Tumor- (2272).jpg,train,2
Tumor,Group 24,Tumor- (2275).jpg,train,2
Tumor,Group 24,Tumor- (2278).jpg,train,2
Tumor,Group 3,Tumor- (359).jpg,train,1
Tumor,Group 3,Tumor- (369).jpg,train,2
Tumor,Group 3,Tumor- (379).jpg,train,2
Tumor,Group 3,Tumor- (390).jpg,train,2
Tumor,Group 3,Tumor- (400).jpg,train,2
Tumor,Group 3,Tumor- (410).jpg,train,2
Tumor,Group 4,Tumor- (440).jpg,train,2
Tumor,Group 4,Tumor- (448).jpg,train,2
Tumor,Group 4,Tumor- (456).jpg,train,2
Tumor,Group 4,Tumor- (463).jpg,train,2
Tumor,Group 4,Tumor- (471).jpg,train,2
Tumor,Group 4,Tumor- (479).jpg,train,2
Tumor,Group 5,Tumor- (533).jpg,train,2
Tumor,Group 5,Tumor- (557).jpg,train,2
Tumor,Group 5,Tumor- (581).jpg,train,2
Tumor,Group 5,Tumor- (605).jpg,train,2
Tumor,Group 5,Tumor- (629).jpg,train,2
Tumor,Group 5,Tumor- (653).jpg,train,2
Tumor,Group 6,Tumor- (730).jpg,train,2
Tumor,Group 6,Tumor- (751).jpg,train,2
Tumor,Group 6,Tumor- (772).jpg,train,2
Tumor,Group 6,Tumor- (793).jpg,train,2
Tumor,Group 6,Tumor- (814).jpg,train,2
Tumor,Group 6,Tumor- (835).jpg,train,2
Tumor,Group 8,Tumor- (930).jpg,train,2
Tumor,Group 8,Tumor- (936).jpg,train,1
Tumor,Group 8,Tumor- (943).jpg,train,1
Tumor,Group 8,Tumor- (949).jpg,train,1
Tumor,Group 8,Tumor- (956).jpg,train,2
Tumor,Group 8,Tumor- (962).jpg,train,2
Tumor,Group 9,Tumor- (1004).jpg,train,2
Tumor,Group 9,Tumor- (1012).jpg,train,2
Tumor,Group 9,Tumor- (1020).jpg,train,2
Tumor,Group 9,Tumor- (1029).jpg,train,2
Tumor,Group 9,Tumor- (987).jpg,train,2
Tumor,Group 9,Tumor- (996).jpg,train,2
Cyst,Group 17,Cyst- (514).jpg,val,2
Cyst,Group 17,Cyst- (537).jpg,val,1
Cyst,Group 29,Cyst- (1038).jpg,val,2
Cyst,Group 29,Cyst- (1041).jpg,val,2
Cyst,Group 32,Cyst- (1261).jpg,val,2
Cyst,Group 32,Cyst- (1306).jpg,val,2
Cyst,Group 39,Cyst- (1658).jpg,val,2
Cyst,Group 39,Cyst- (1671).jpg,val,2
Cyst,Group 4,Cyst- (104).jpg,val,1
Cyst,Group 4,Cyst- (130).jpg,val,2
Cyst,Group 55,Cyst- (2942).jpg,val,2
Cyst,Group 55,Cyst- (2962).jpg,val,2
Cyst,Group 58,Cyst- (3014).jpg,val,2
Cyst,Group 58,Cyst- (3018).jpg,val,2
Cyst,Group 63,Cyst- (3249).jpg,val,2
Cyst,Group 63,Cyst- (3258).jpg,val,2
Cyst,Group 66,Cyst- (3373).jpg,val,2
Cyst,Group 66,Cyst- (3386).jpg,val,2
Cyst,Group 7,Cyst- (258).jpg,val,2
Cyst,Group 77,Cyst- (3628).jpg,val,2
Cyst,Group 77,Cyst- (3637).jpg,val,2
Cyst,Group 8,Cyst- (268).jpg,val,2
Cyst,Group 8,Cyst- (272).jpg,val,2
Normal,Group 1,Normal- (151).jpg,val,2
Normal,Group 1,Normal- (176).jpg,val,2
Normal,Group 1,Normal- (202).jpg,val,2
Normal,Group 13,Normal- (1607).jpg,val,2
Normal,Group 13,Normal- (1626).jpg,val,2
Normal,Group 13,Normal- (1645).jpg,val,2
Normal,Group 28,Normal- (3134).jpg,val,2
Normal,Group 28,Normal- (3150).jpg,val,2
Normal,Group 28,Normal- (3165).jpg,val,2
Normal,Group 30,Normal- (3343).jpg,val,0
Normal,Group 30,Normal- (3376).jpg,val,2
Normal,Group 30,Normal- (3410).jpg,val,1
Normal,Group 32,Normal- (3560).jpg,val,2
Normal,Group 32,Normal- (3590).jpg,val,2
Normal,Group 32,Normal- (3621).jpg,val,2
